LASER ID,ROW IDX,ELEVATION ANGLE,AZIMUTH OFFSET,FIRING ORDER,TIMING OFFSET_US,TIMING OFFSET_DEG,TOTAL OFFSET,MAX OFFSET,,,ELEVATION_ANGLE_RAD,ELEVATION_ANGLE_DEG
0,31,-25,1.4,0,0,0.00,1.40,4.316666667,43.16666667,,-0.436332313,-25
1,14,-1,-4.2,0,0,0.00,-4.20,,,,-0.017453293,-1
2,16,-1.667,1.4,1,2.304,0.01,1.41,,,,-0.029094639,-1.667
3,30,-15.639,-1.4,1,2.304,0.01,-1.39,,,,-0.272952042,-15.639
4,29,-11.31,1.4,2,4.608,0.02,1.42,,,,-0.197396738,-11.31
5,11,0,-1.4,2,4.608,0.02,-1.38,,,,0,0
6,13,-0.667,4.2,3,6.912,0.03,4.23,,,,-0.011641346,-0.667
7,28,-8.843,-1.4,3,6.912,0.03,-1.38,,,,-0.154339466,-8.843
8,27,-7.254,1.4,4,9.216,0.03,1.43,,,,-0.126606184,-7.254
9,10,0.333,-4.2,4,9.216,0.03,-4.17,,,,0.005811946,0.333
10,12,-0.333,1.4,5,11.52,0.04,1.44,,,,-0.005811946,-0.333
11,26,-6.148,-1.4,5,11.52,0.04,-1.36,,,,-0.107302842,-6.148
12,25,-5.333,4.2,6,13.824,0.05,4.25,,,,-0.093078409,-5.333
13,7,1.333,-1.4,6,13.824,0.05,-1.35,,,,0.023265239,1.333
14,9,0.667,4.2,7,16.128,0.06,4.26,,,,0.011641346,0.667
15,23,-4,-1.4,7,16.128,0.06,-1.34,,,,-0.06981317,-4
16,24,-4.667,1.4,8,18.432,0.07,1.47,,,,-0.081454516,-4.667
17,6,1.667,-4.2,8,18.432,0.07,-4.13,,,,0.029094639,1.667
18,8,1,1.4,9,20.736,0.08,1.48,,,,0.017453293,1
19,22,-3.667,-4.2,9,20.736,0.08,-4.13,,,,-0.064001224,-3.667
20,21,-3.333,4.2,10,23.04,0.08,4.28,,,,-0.058171824,-3.333
21,4,3.333,-1.4,10,23.04,0.08,-1.32,,,,0.058171824,3.333
22,5,2.333,1.4,11,25.344,0.09,1.49,,,,0.040718531,2.333
23,19,-2.667,-1.4,11,25.344,0.09,-1.31,,,,-0.046547931,-2.667
24,20,-3,1.4,12,27.648,0.10,1.50,,,,-0.052359878,-3
25,2,7,-1.4,12,27.648,0.10,-1.30,,,,0.122173048,7
26,3,4.667,1.4,13,29.952,0.11,1.51,,,,0.081454516,4.667
27,18,-2.333,-4.2,13,29.952,0.11,-4.09,,,,-0.040718531,-2.333
28,17,-2,4.2,14,32.256,0.12,4.32,,,,-0.034906585,-2
29,0,15,-1.4,14,32.256,0.12,-1.28,,,,0.261799388,15
30,1,10.333,1.4,15,34.56,0.13,1.53,,,,0.180344872,10.333
31,15,-1.333,-1.4,15,34.56,0.13,-1.28,,,,-0.023265239,-1.333
